Year,CBD Crimes,CBD Growth %,Predicted Crime,CBD Final (Actual + Forecast)
1999,220,,,220
2000,183,-16.82%,,183
2001,165,-9.84%,,165
2002,170,3.03%,,170
2003,168,-1.18%,,168
2004,173,2.98%,,173
2005,142,-17.92%,,142
2006,130,-8.45%,,130
2007,135,3.85%,,135
2008,110,-18.52%,,110
2009,124,12.73%,,124
2010,145,16.94%,,145
2011,170,17.24%,,170
2012,,12.51%,191.2622763,191.2622763
2013,,13.83%,217.7221845,217.7221845
2014,,15.75%,252.0176867,252.0176867
2015,,19.96%,302.3255936,302.3255936
,,,,
,,,,
,,(CurrentYear−PreviousYear)/Previ,Future=LastYear×(1+Growth),
