COUNTA of TYPE,TYPE,,,,,,,,,
MONTH,,Break and Enter Commercial,Break and Enter Residential/Other,Mischief,Other Theft,Theft from Vehicle,Theft of Bicycle,Theft of Vehicle,Vehicle Collision or Pedestrian Struck (with Injury),Grand Total
,0,,,,,,,,,0
1,,52,107,98,85,260,16,79,36,733
2,,49,103,87,97,253,20,68,24,701
3,,76,95,104,77,260,27,59,40,738
4,,64,97,105,72,287,35,57,28,745
5,,49,94,127,78,290,31,52,30,751
6,,55,97,128,80,274,47,80,35,796
7,,63,91,96,74,273,80,55,35,767
8,,53,97,105,77,281,72,68,38,791
9,,51,94,100,74,279,75,60,34,767
10,,51,120,124,73,314,40,57,40,819
11,,46,99,103,78,271,17,56,30,700
12,,59,96,113,77,283,18,63,33,742
Grand Total,0,668,1190,1290,942,3325,478,754,403,9050
