TYPE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y,Latitude,Longitude,HOUR,MINUTE,YEAR,MONTH,DAY,Date,TIME_OF_DAY,Month_Name,Coordinates
Vehicle Collision or Pedestrian Struck (with Injury),E HASTINGS ST / PRINCESS AVE,Strathcona,493348.0,5458720.0,49.28120,-123.09146,2,43,2005,2,1,02/01/2005,Evening,February,"49.28119784, -123.0914617"
Break and Enter Commercial,5XX NICOLA ST,Central Business District,490728.7,5459818.6,49.29105,-123.12750,5,35,2008,10,18,10/18/2008,Evening,October,"49.2910457, -123.1275009"
Theft from Vehicle,5X W CORDOVA ST,Central Business District,492324.6,5458890.9,49.28272,-123.10554,0,0,1999,7,30,07/30/1999,Night,July,"49.28272267, -123.1055358"
Break and Enter Commercial,28XX W BROADWAY AVE,Kitsilano,487723.3,5456831.7,49.26413,-123.16874,16,0,2002,8,6,08/06/2002,Night,August,"49.26412547, -123.1687408"
Mischief,7XX E 15TH AVE,Mount Pleasant,493626.0,5456044.3,49.25713,-123.08760,17,0,2005,9,24,09/24/2005,Night,September,"49.25713248, -123.0875974"
Mischief,27XX HEATHER ST,Fairview,491269.2,5456487.0,49.26109,-123.12000,4,45,1999,7,25,07/25/1999,Evening,July,"49.26108564, -123.1199953"
Break and Enter Commercial,45XX MAIN ST,Riley Park,492618.6,5454541.5,49.24360,-123.10141,4,28,2010,11,15,11/15/2010,Evening,November,"49.24360261, -123.1014133"
Other Theft,20XX E HASTINGS ST,Grandview-Woodland,495498.5,5458710.9,49.28114,-123.06189,12,0,2007,7,16,07/16/2007,Night,July,"49.28113596, -123.0618933"
Theft from Vehicle,2XX W 49TH AVE,Oakridge,491807.5,5452574.7,49.22590,-123.11252,15,12,1999,7,26,07/26/1999,Afternoon,July,"49.22590128, -123.112517"
Other Theft,71XX KERR ST,Killarney,496991.5,5451723.2,49.21829,-123.04131,12,27,2005,1,14,01/14/2005,Evening,January,"49.21828859, -123.0413123"
Theft from Vehicle,19XX E 12TH AVE,Kensington-Cedar Cottage,495303.0,5456313.8,49.25957,-123.06455,22,30,2007,10,14,10/14/2007,Evening,October,"49.25957168, -123.0645536"
Mischief,14XX W 11TH AVE,Fairview,490077.2,5456557.5,49.26170,-123.13638,20,0,2010,7,30,07/30/2010,Night,July,"49.26170127, -123.1363806"
Theft from Vehicle,ABBOTT ST / W PENDER ST,Central Business District,492175.4,5458706.9,49.28107,-123.10758,23,30,2004,6,6,06/06/2004,Evening,June,"49.28106567, -123.1075836"
Break and Enter Commercial,18XX VICTORIA DVRS,Kensington-Cedar Cottage,495131.0,5455637.6,49.25349,-123.06691,15,13,2008,12,23,12/23/2008,Afternoon,December,"49.25348742, -123.0669091"
